"response","optionOrder","optionValence","scale","notes.on.option.order"
"Yes",5,NA,1,"if scale is one:"
"No",1,NA,1,"5= most positive"
"Male",2,NA,0,"4= least positive"
"Female",1,NA,0,"3 = neutral"
"Sort of",3,NA,1,"2 = least negative"
"Very much",5,NA,1,"1 = most negative"
"Not at all",1,NA,1,""
"I'm not sure",3,NA,1,""
"I think so",4,NA,1,""
"Usually",4,NA,1,""
"Not really",2,NA,1,""
"Teacher",NA,NA,0,""
"Instructional Paraprofessional",NA,NA,0,""
"Support Staff Member",NA,NA,0,""
"Support Staff member",NA,NA,0,""
"Somewhat",2,NA,1,""
"This does not apply to me",3,NA,1,""
"CCMS",NA,NA,0,""
"CES",NA,NA,0,""
"Harrison",NA,NA,0,""
"Absolutely",5,NA,1,""
"Agree",4,NA,1,""
"Strongly agree",5,NA,1,""
"I neither agree or disagree",3,NA,1,""
"Disagree",2,NA,1,""
"Three to six years",3,NA,0,""
"One to three years",2,NA,0,""
"More than six years",4,NA,0,""
"Less than one year",1,NA,0,""
"They are mostly in line",4,NA,1,""
"They are completely in line",5,NA,1,""
"They are somewhat in line",2,NA,1,""
"They are not in line",1,NA,1,""
"11th",11,NA,0,""
"12th",12,NA,0,""
"10th",10,NA,0,""
"9th",9,NA,0,""
"A Girl",NA,NA,0,""
"A Boy",NA,NA,0,""
"I prefer not to answer this question",3,NA,1,""
"Somewhat disagree",2,NA,1,""
"Somewhat agree",4,NA,1,""
"Strongly disagree",1,NA,1,""
"Neither agree nor disagree",3,NA,1,""
"Strongly Agree",5,NA,1,""
"Strongly Disagree",1,NA,1,""
"Often",5,NA,1,""
"Not often",1,NA,1,""
"Not that I am aware of",2,NA,1,""
"Not that I am aware of.",2,NA,1,""
"They are not in line at all",1,NA,1,""
"Canon Exploratory School (CES)",NA,NA,0,""
"Lincoln School of Science and Technology",NA,NA,0,""
"McKinley",NA,NA,0,""
"Washington",NA,NA,0,""
"I Prefer Not To Identify",NA,NA,0,""
"Other",NA,NA,0,""
"Trasngender",NA,NA,0,""
"Transgender",NA,NA,0,""
"Somewhat Disagree",2,NA,1,""
"No, but I'm willing to learn how to do this better",2,NA,1,""
"Yes, but I'd like to learn more about how to do this",4,NA,1,""
"Yes, but I'd like to learn more about how to do this.",4,NA,1,""
"No, but I'm willing to learn how to do this better.",2,NA,1,""
"On occasion",4,NA,1,""
"Rarely",2,NA,1,""
"Never",1,NA,1,""
"STEAM",NA,NA,0,""
"Arts, Hospitality, and Education",NA,NA,0,""
"Skilled Trades, Security, and Industry",NA,NA,0,""
"TOP",NA,NA,0,""
"Base Camp",NA,NA,0,""
"Health and Business",NA,NA,0,""
"Sort Of",3,NA,1,""
"This question does not apply to me.",3,NA,1,""
"CCHS",NA,NA,0,""
"Lincoln",NA,NA,0,""
"Harrison K-8",NA,NA,0,""
"Lincoln School of Science and Technology (LSST)",NA,NA,0,""
"Health",NA,NA,0,""
"P-TECH",NA,NA,0,""
"4th",4,NA,0,""
"3rd",3,NA,0,""
"2nd",2,NA,0,""
"5th",5,NA,0,""
"8th",8,NA,0,""
"6th",6,NA,0,""
"7th",7,NA,0,""
