Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
1/31/2022 16:02:33,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:03:13,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:05:19,Canon Exploratory School (CES),More than six years,Yes,Yes,No,Often,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
1/31/2022 16:05:23,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/31/2022 16:05:50,Canon Exploratory School (CES),Three to six years,Yes,No,No,Yes,Yes,No,Yes,Yes,Rarely,No,No,Sort of,Neither agree nor disagree
1/31/2022 16:07:23,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:08:25,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:08:32,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:09:21,Canon Exploratory School (CES),One to three years,Yes,I'm not sure,I'm not sure,Often,No,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
1/31/2022 16:12:19,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Rarely,Yes,Yes,Yes,Somewhat agree
1/31/2022 16:15:23,Canon Exploratory School (CES),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat agree
1/31/2022 16:17:16,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:21:42,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:22:47,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:24:31,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:44:09,Canon Exploratory School (CES),Three to six years,Yes,I'm not sure,Yes,Not often,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
1/31/2022 16:47:20,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 16:47:46,Canon Exploratory School (CES),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
1/31/2022 16:55:24,Canon Exploratory School (CES),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/31/2022 16:55:32,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
1/31/2022 16:57:12,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 17:05:43,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,No,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
1/31/2022 17:07:21,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 17:09:34,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
1/31/2022 17:18:13,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
