"","response"
"1","Yes"
"2","No"
"3","Sort of"
"4","Very much"
"5","Usually"
"6","Not at all"
"7","I think so"
"8","I'm not sure"
"9","Absolutely"
"10","Not really"
"11","Sort Of"
"12","Male"
"13","Female"
"14","I Prefer Not To Identify"
"15","Other"
"16","Trasngender"
"17","Transgender"
"18","Somewhat"
"19","A Girl"
"20","A Boy"
"21","I prefer not to answer this question"
"22","Teacher"
"23","Instructional Paraprofessional"
"24","Support Staff Member"
"25","Support Staff member"
"26","Somewhat disagree"
"27","Somewhat agree"
"28","Strongly agree"
"29","Strongly disagree"
"30","Neither agree nor disagree"
"31","Somewhat Disagree"
"32","Agree"
"33","Strongly Agree"
"34","I neither agree or disagree"
"35","Disagree"
"36","Strongly Disagree"
"37","This question does not apply to me."
"38","Not often"
"39","Often"
"40","Yes, but I'd like to learn more about how to do this."
"41","No, but I'm willing to learn how to do this better."
"42","No, but I'm willing to learn how to do this better"
"43","Yes, but I'd like to learn more about how to do this"
"44","This does not apply to me"
"45","Rarely"
"46","On occasion"
"47","Never"
"48","One to three years"
"49","Less than one year"
"50","More than six years"
"51","Three to six years"
"52","Not that I am aware of."
"53","Not that I am aware of"
"54","CCMS"
"55","CES"
"56","Harrison"
"57","CCHS"
"58","Lincoln"
"59","McKinley"
"60","Washington"
"61","They are mostly in line"
"62","They are completely in line"
"63","They are somewhat in line"
"64","They are not in line"
"65","They are not in line at all"
"66","11th"
"67","12th"
"68","10th"
"69","9th"
"70","6th"
"71","8th"
"72","7th"
"73","5th"
"74","3rd"
"75","4th"
"76","2nd"
"77","Canon Exploratory School (CES)"
"78","Lincoln School of Science and Technology"
"79","Harrison K-8"
"80","Lincoln School of Science and Technology (LSST)"
"81","STEAM"
"82","Arts, Hospitality, and Education"
"83","Skilled Trades, Security, and Industry"
"84","TOP"
"85","Base Camp"
"86","Health and Business"
"87","Health"
"88","P-TECH"
