Timestamp,What grade are you in?,Which Pathway are you in?,I am,Do you like coming to school?,Do you feel safe at school?,Do you have at least one good friend at school?,Do you have at least one adult you can talk to at school when you need help?,Do you feel your school effectively addresses the mental health needs of you and your classmates?,Do your teachers encourage you to take positive risks at school?,Are you aware of the seven traits your school is trying to develop in students?,Does your school have you do things that help you learn these traits?,Are you aware of our requirement to complete a Capstone project before you graduate?,Do you feel you are prepared to complete a Capstone project before you graduate?,Do you feel your school experience is adequately preparing you for the real world?
2/14/2022 8:40:57,11th,STEAM,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:41:44,11th,STEAM,,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:42:20,12th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 8:43:47,12th,"Skilled Trades, Security, and Industry",,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,,Yes,Yes,I'm not sure
2/14/2022 8:45:00,12th,TOP,Female,Very much,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:46:32,11th,"Skilled Trades, Security, and Industry",Female,Sort of,Very much,Yes,Yes,I think so,Yes,No,No,Yes,No,I think so
2/14/2022 8:47:33,11th,Base Camp,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,No,I'm not sure
2/14/2022 8:48:35,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:49:25,11th,TOP,Female,Not really,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 8:50:49,11th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 8:52:33,11th,,Male,Sort of,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 8:56:24,10th,STEAM,Male,Not really,Very much,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:57:41,11th,,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:57:53,11th,"Skilled Trades, Security, and Industry",Male,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:00:13,12th,Health and Business,Female,Not really,No,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:04:06,10th,"Skilled Trades, Security, and Industry",Female,Very much,Very much,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,Not at all
